epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7347,1.01429,2.0598,0.97488,1,0.04496,0.71594,0.56106,0.8069,3.118,0.89689,0.000652778,0.000652778,0.000652778
2,106.509,1.03553,1.39634,1.0099,0.96125,0.70889,0.85545,0.59338,1.05496,2.31818,0.95054,0.00130638,0.00130638,0.00130638
3,145.997,1.06688,1.27679,1.02284,0.64302,0.69481,0.63543,0.46275,0.9955,1.8063,0.97991,0.00194679,0.00194679,0.00194679
4,188.107,1.08621,1.24479,1.03265,0.88163,0.81429,0.91841,0.6746,0.95878,1.72439,0.97262,0.0019406,0.0019406,0.0019406
5,229.604,1.03852,1.1281,1.00115,0.98272,1,0.99401,0.78107,0.81825,1.0914,0.92457,0.0019208,0.0019208,0.0019208
6,272.097,0.98945,0.98808,0.9978,0.94505,0.98287,0.985,0.75145,0.85083,0.95463,0.93809,0.001901,0.001901,0.001901
7,312.988,0.99617,0.93632,1.01263,0.96942,1,0.98977,0.7557,0.88738,0.83237,0.92945,0.0018812,0.0018812,0.0018812
8,353.914,0.98241,0.88765,1.01494,0.98867,0.98571,0.99295,0.75935,0.89003,0.7626,0.93131,0.0018614,0.0018614,0.0018614
9,395.331,0.95591,0.80685,0.9801,0.99275,0.97143,0.99372,0.73833,0.90679,0.72368,0.93347,0.0018416,0.0018416,0.0018416
10,437.638,0.95184,0.78323,0.98198,0.98181,0.97143,0.99102,0.67691,0.96875,0.86302,0.99286,0.0018218,0.0018218,0.0018218
11,479.94,0.88269,0.72243,0.96971,0.99892,1,0.995,0.76832,0.80047,0.62017,0.9017,0.001802,0.001802,0.001802
12,523.314,0.95079,0.72596,0.96217,0.98554,0.97385,0.99445,0.78234,0.82894,0.63231,0.91204,0.0017822,0.0017822,0.0017822
13,564.152,0.90511,0.7074,0.97435,0.99507,1,0.995,0.79195,0.80279,0.69698,0.90825,0.0017624,0.0017624,0.0017624
14,605.115,0.93081,0.69063,0.96859,1,0.99863,0.995,0.78005,0.78996,0.61204,0.9044,0.0017426,0.0017426,0.0017426
15,646.219,0.92005,0.6805,0.98549,0.95888,0.99938,0.99093,0.79136,0.80059,0.59156,0.93139,0.0017228,0.0017228,0.0017228
16,687.996,0.94299,0.66775,0.99008,0.97077,1,0.99199,0.77806,0.76297,0.58866,0.90423,0.001703,0.001703,0.001703
17,730.051,0.90624,0.64941,0.96488,0.98552,0.97257,0.99445,0.80574,0.74251,0.58519,0.89283,0.0016832,0.0016832,0.0016832
18,770.902,0.87536,0.62465,0.95605,0.98256,1,0.99472,0.83221,0.69168,0.53151,0.88609,0.0016634,0.0016634,0.0016634
19,811.354,0.86351,0.60523,0.96882,1,0.99429,0.995,0.79079,0.73424,0.52684,0.88888,0.0016436,0.0016436,0.0016436
20,851.691,0.84052,0.60272,0.94165,0.99612,0.98571,0.99472,0.8098,0.71603,0.51662,0.88498,0.0016238,0.0016238,0.0016238
21,891.981,0.85506,0.59712,0.96515,1,0.99597,0.995,0.81135,0.73219,0.55038,0.89962,0.001604,0.001604,0.001604
22,933.687,0.77794,0.57827,0.93499,0.99457,1,0.995,0.80123,0.70836,0.49227,0.89285,0.0015842,0.0015842,0.0015842
23,974.702,0.81502,0.56983,0.94369,0.99839,1,0.995,0.81449,0.746,0.49063,0.88981,0.0015644,0.0015644,0.0015644
24,1016.37,0.84458,0.57822,0.94889,0.99625,1,0.995,0.82187,0.69287,0.46397,0.89652,0.0015446,0.0015446,0.0015446
25,1058.7,0.81351,0.57257,0.94992,0.99856,1,0.995,0.83727,0.67012,0.44681,0.89361,0.0015248,0.0015248,0.0015248
26,1101.34,0.82085,0.56069,0.97038,0.99896,1,0.995,0.82466,0.65108,0.43838,0.87214,0.001505,0.001505,0.001505
27,1144.37,0.80666,0.56093,0.93346,0.9988,1,0.995,0.8113,0.74071,0.4926,0.89194,0.0014852,0.0014852,0.0014852
28,1187.89,0.77533,0.54607,0.93428,0.99359,1,0.995,0.83457,0.7036,0.44051,0.88961,0.0014654,0.0014654,0.0014654
29,1232.21,0.76643,0.53737,0.92965,1,0.99969,0.995,0.82076,0.71299,0.45706,0.89425,0.0014456,0.0014456,0.0014456
30,1275.53,0.78265,0.53844,0.9434,0.98414,1,0.99289,0.81191,0.74889,0.45691,0.90524,0.0014258,0.0014258,0.0014258
31,1318.81,0.80562,0.53485,0.92089,0.99895,1,0.995,0.79208,0.80316,0.4533,0.8989,0.001406,0.001406,0.001406
32,1360.7,0.78072,0.51274,0.91175,1,0.99927,0.995,0.82796,0.67228,0.43521,0.88027,0.0013862,0.0013862,0.0013862
33,1403.45,0.76669,0.50662,0.94854,0.99866,1,0.995,0.83099,0.70445,0.4089,0.8889,0.0013664,0.0013664,0.0013664
34,1446.11,0.735,0.49091,0.91951,0.99809,1,0.995,0.82811,0.67584,0.43142,0.88827,0.0013466,0.0013466,0.0013466
35,1488.75,0.7267,0.49277,0.92168,0.98469,0.98571,0.99472,0.83326,0.68373,0.43066,0.89652,0.0013268,0.0013268,0.0013268
36,1529.56,0.75856,0.50385,0.9265,0.99791,1,0.995,0.83428,0.703,0.41623,0.88412,0.001307,0.001307,0.001307
37,1569.86,0.79118,0.51696,0.94722,0.99815,1,0.995,0.84782,0.65504,0.43045,0.87367,0.0012872,0.0012872,0.0012872
38,1610.34,0.72053,0.48294,0.93345,0.99915,1,0.995,0.83462,0.66147,0.41008,0.88803,0.0012674,0.0012674,0.0012674
39,1650.71,0.74255,0.49381,0.92206,0.99888,1,0.995,0.84064,0.68924,0.41485,0.88875,0.0012476,0.0012476,0.0012476
40,1690.6,0.74872,0.50193,0.93581,0.9985,1,0.995,0.82415,0.65475,0.3935,0.87594,0.0012278,0.0012278,0.0012278
41,1730.75,0.72715,0.48043,0.92363,0.99444,1,0.995,0.85022,0.58552,0.38249,0.86671,0.001208,0.001208,0.001208
42,1771.51,0.72854,0.45911,0.91123,1,0.99819,0.995,0.85545,0.61263,0.37258,0.86454,0.0011882,0.0011882,0.0011882
43,1812.73,0.73274,0.4773,0.93249,1,0.99912,0.995,0.83613,0.65489,0.39403,0.87219,0.0011684,0.0011684,0.0011684
44,1853.61,0.73516,0.47592,0.92089,0.99976,1,0.995,0.85706,0.63515,0.38574,0.87466,0.0011486,0.0011486,0.0011486
45,1894.19,0.69674,0.45184,0.91433,1,0.99824,0.995,0.86736,0.56974,0.3702,0.86159,0.0011288,0.0011288,0.0011288
46,1934.44,0.71896,0.46824,0.91206,0.9989,1,0.995,0.83714,0.64442,0.38148,0.86817,0.001109,0.001109,0.001109
47,1974.87,0.69971,0.4624,0.90636,0.99933,1,0.995,0.86126,0.65022,0.37226,0.87189,0.0010892,0.0010892,0.0010892
48,2015.53,0.6735,0.43991,0.90314,0.99875,1,0.995,0.85364,0.64613,0.38208,0.8688,0.0010694,0.0010694,0.0010694
49,2056.19,0.71677,0.46685,0.95028,1,0.99898,0.995,0.84535,0.63714,0.38313,0.86641,0.0010496,0.0010496,0.0010496
50,2096.47,0.66393,0.44571,0.88202,0.98446,1,0.99486,0.85263,0.64623,0.38375,0.87043,0.0010298,0.0010298,0.0010298
51,2135.93,0.70084,0.46511,0.90724,0.99833,1,0.995,0.832,0.68116,0.39814,0.87655,0.00101,0.00101,0.00101
52,2176.48,0.67599,0.44231,0.90766,0.9988,1,0.995,0.85299,0.65431,0.37295,0.87006,0.0009902,0.0009902,0.0009902
53,2216.38,0.67223,0.42727,0.90995,0.9989,1,0.995,0.86343,0.60503,0.36808,0.86421,0.0009704,0.0009704,0.0009704
54,2258.3,0.66069,0.4413,0.90844,0.99878,1,0.995,0.85539,0.62162,0.36289,0.87312,0.0009506,0.0009506,0.0009506
55,2300.44,0.67127,0.43967,0.91177,0.99865,1,0.995,0.85287,0.6272,0.37117,0.87387,0.0009308,0.0009308,0.0009308
56,2342.38,0.66976,0.41934,0.9011,0.9997,1,0.995,0.82964,0.64883,0.3734,0.87051,0.000911,0.000911,0.000911
57,2385.34,0.62464,0.40212,0.88348,0.99919,1,0.995,0.87267,0.59638,0.34419,0.85693,0.0008912,0.0008912,0.0008912
58,2426.42,0.70295,0.43881,0.9034,0.99903,1,0.995,0.86071,0.61926,0.35501,0.86288,0.0008714,0.0008714,0.0008714
59,2467.17,0.6971,0.44624,0.92512,0.99685,1,0.995,0.85994,0.61051,0.35672,0.86442,0.0008516,0.0008516,0.0008516
60,2509.16,0.65487,0.42964,0.89291,0.99837,1,0.995,0.85284,0.66347,0.3833,0.87074,0.0008318,0.0008318,0.0008318
61,2552.03,0.68236,0.42955,0.90069,0.99825,1,0.995,0.84972,0.64823,0.39202,0.8722,0.000812,0.000812,0.000812
62,2591.66,0.61987,0.40304,0.88411,0.99913,1,0.995,0.8697,0.57229,0.34907,0.85839,0.0007922,0.0007922,0.0007922
63,2631.76,0.66694,0.44028,0.91864,0.99891,1,0.995,0.86842,0.61023,0.32956,0.85482,0.0007724,0.0007724,0.0007724
64,2674.33,0.62157,0.42451,0.89392,0.99895,1,0.995,0.87633,0.58371,0.32856,0.85685,0.0007526,0.0007526,0.0007526
65,2716.54,0.60918,0.38134,0.8755,0.99904,1,0.995,0.86752,0.61557,0.35166,0.87592,0.0007328,0.0007328,0.0007328
66,2758.42,0.67855,0.418,0.9165,0.99905,1,0.995,0.88284,0.59048,0.32751,0.86572,0.000713,0.000713,0.000713
67,2799.09,0.64229,0.41179,0.88791,0.9989,1,0.995,0.86697,0.6171,0.3416,0.86712,0.0006932,0.0006932,0.0006932
68,2839.6,0.61415,0.39018,0.87297,0.99889,1,0.995,0.87495,0.61041,0.34337,0.87266,0.0006734,0.0006734,0.0006734
69,2880.41,0.59538,0.38547,0.87055,0.99914,1,0.995,0.88058,0.57508,0.31258,0.85681,0.0006536,0.0006536,0.0006536
70,2920.8,0.60494,0.38506,0.88968,0.99909,1,0.995,0.88565,0.55021,0.30924,0.85185,0.0006338,0.0006338,0.0006338
71,2961.68,0.64574,0.39318,0.88466,0.99892,1,0.995,0.84161,0.68758,0.35444,0.86976,0.000614,0.000614,0.000614
72,3002.32,0.6458,0.39465,0.89159,0.99905,1,0.995,0.87248,0.5757,0.32114,0.85815,0.0005942,0.0005942,0.0005942
73,3043.46,0.61307,0.3978,0.88062,0.99901,1,0.995,0.85783,0.65325,0.35505,0.86361,0.0005744,0.0005744,0.0005744
74,3084.1,0.62122,0.38838,0.88261,0.99914,1,0.995,0.86293,0.58679,0.32431,0.85979,0.0005546,0.0005546,0.0005546
75,3126.71,0.61762,0.38676,0.88354,0.99915,1,0.995,0.87971,0.57177,0.31365,0.85736,0.0005348,0.0005348,0.0005348
76,3169.04,0.61346,0.37822,0.88665,0.99908,1,0.995,0.86265,0.60136,0.31832,0.86059,0.000515,0.000515,0.000515
77,3208.82,0.62809,0.39403,0.88692,0.99851,1,0.995,0.86273,0.57535,0.3215,0.86192,0.0004952,0.0004952,0.0004952
78,3249.75,0.61732,0.38419,0.89562,0.99898,1,0.995,0.87707,0.56759,0.3145,0.85505,0.0004754,0.0004754,0.0004754
79,3292.62,0.60177,0.38257,0.88726,0.9991,1,0.995,0.87433,0.59458,0.32491,0.8582,0.0004556,0.0004556,0.0004556
80,3335.51,0.60661,0.37818,0.90216,0.9991,1,0.995,0.87949,0.57086,0.31265,0.85434,0.0004358,0.0004358,0.0004358
81,3379.11,0.58706,0.3782,0.90055,0.99816,1,0.995,0.88698,0.53231,0.30706,0.84486,0.000416,0.000416,0.000416
82,3422.5,0.56852,0.36139,0.87533,0.99593,1,0.995,0.88324,0.55417,0.31109,0.84789,0.0003962,0.0003962,0.0003962
83,3466.92,0.59894,0.37712,0.88578,0.99779,1,0.995,0.88374,0.54032,0.29898,0.84616,0.0003764,0.0003764,0.0003764
84,3509.69,0.5634,0.34969,0.88861,0.99901,1,0.995,0.88483,0.54333,0.30734,0.85084,0.0003566,0.0003566,0.0003566
85,3552.25,0.60194,0.36102,0.87774,0.99304,1,0.995,0.87419,0.59061,0.31689,0.85508,0.0003368,0.0003368,0.0003368
86,3595.13,0.5796,0.35516,0.8899,0.99775,1,0.995,0.88761,0.53301,0.29408,0.84701,0.000317,0.000317,0.000317
87,3637.52,0.59227,0.35835,0.88037,0.99885,1,0.995,0.88015,0.56868,0.30322,0.84961,0.0002972,0.0002972,0.0002972
88,3679.17,0.56862,0.35039,0.87702,0.99905,1,0.995,0.89943,0.52994,0.28251,0.84335,0.0002774,0.0002774,0.0002774
89,3719.84,0.55924,0.34323,0.87636,0.99867,1,0.995,0.89845,0.53914,0.28932,0.84454,0.0002576,0.0002576,0.0002576
90,3760.31,0.56704,0.33556,0.87546,0.99911,1,0.995,0.89901,0.50847,0.28334,0.84288,0.0002378,0.0002378,0.0002378
91,3800.54,0.47569,0.29982,0.82196,0.99912,1,0.995,0.8867,0.5536,0.29017,0.84588,0.000218,0.000218,0.000218
92,3840.58,0.48576,0.29281,0.82266,0.99911,1,0.995,0.88478,0.53644,0.28956,0.84768,0.0001982,0.0001982,0.0001982
93,3880.41,0.45667,0.28304,0.82146,0.99868,1,0.995,0.88971,0.53259,0.28493,0.84449,0.0001784,0.0001784,0.0001784
94,3920.26,0.45129,0.2781,0.82176,0.99922,1,0.995,0.89317,0.53387,0.28409,0.84303,0.0001586,0.0001586,0.0001586
95,3959.89,0.45226,0.28045,0.82276,0.99922,1,0.995,0.89549,0.53433,0.28182,0.84439,0.0001388,0.0001388,0.0001388
96,3999.01,0.46701,0.28101,0.833,0.9992,1,0.995,0.89141,0.52773,0.27929,0.84671,0.000119,0.000119,0.000119
97,4038.02,0.45044,0.27718,0.80919,0.99918,1,0.995,0.88622,0.54003,0.27513,0.84638,9.92e-05,9.92e-05,9.92e-05
98,4077.26,0.45521,0.27483,0.82601,0.99918,1,0.995,0.89047,0.54239,0.27771,0.84572,7.94e-05,7.94e-05,7.94e-05
99,4117.23,0.43497,0.26778,0.81301,0.99919,1,0.995,0.89477,0.52393,0.27372,0.8423,5.96e-05,5.96e-05,5.96e-05
100,4156.85,0.43186,0.26382,0.81477,0.99917,1,0.995,0.88874,0.52736,0.2758,0.84381,3.98e-05,3.98e-05,3.98e-05
